"Archive Date","Associated Streets","Collection Date","Data Type","Intersection Number","Neighborhood Code","Original File Name","Site Location","Street Name","Study Period","Study Type"
"12/20/2013 07:00:00 PM","MASSACHUSETTS AVE, ST BOTOLPH ST","09-20-2012","","134","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_0134_MASSACHUSETTS AVE, ST BOTOLPH ST_BP_11HR_TMC_09202012.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"12/20/2013 07:00:00 PM","BROADWAY ST, DORCHESTER AVE, WEST BROADWAY","12-11-2012","","136","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_0136_BROADWAY ST, DORCHESTER AVE, WEST BROADWAY_SB_12HR_TMC_12112012.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"12/20/2013 07:00:00 PM","BEACON ST, BROOKLINE AVE, COMMONWEALTH AVE, DEERFIELD ST","09-20-2012","","150","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_0150_BEACON ST, BROOKLINE AVE, COMMONWEALTH AVE, DEERFIELD ST_BP_11HR_TMC_09202012.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"12/20/2013 07:00:00 PM","BLUE HILL AVE, WARREN ST","01-11-2011","","189","ROXBURY","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_0189_BLUE HILL AVE, WARREN ST_RX_12HR_TMC_01112011.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"12/20/2013 07:00:00 PM","BLUE HILL AVE, CHENEY ST, WASHINGTON ST","01-19-2011","","190","ROXBURY","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_0190_BLUE HILL AVE, CHENEY ST, WASHINGTON ST_RX_12HR_TMC_01192011.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/08/2014 07:00:00 PM","HUMBOLDT AVE, WYOMING ST","09-12-2013","","1723","ROXBURY","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_1723_HUMBOLDT AVE, WYOMING ST_RX_12HR_TMC_09122013.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/08/2014 07:00:00 PM","RECTOR RD, RIVER ST","05-03-2011","","1734","DORCHESTER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_1734_RECTOR RD, RIVER ST_DO_11HR_TMC_05032011.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/08/2014 07:00:00 PM","ATLANTIC AVE, COMMERCIAL WHARF","11-09-2012","","1963","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_1963_ATLANTIC AVE, COMMERCIAL WHARF_BP_12HR_TMC_11092012.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/08/2014 07:00:00 PM","ATLANTIC AVE, RICHMOND ST","11-07-2012","","1964","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_1964_ATLANTIC AVE, RICHMOND ST_BP_12HR_TMC_11072012.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","CONGRESS ST, D ST","12-02-2008","","4059","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4059_CONGRESS ST, D ST_SB_11HR_TMC_12022008.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","CONGRESS ST, EAST SERVICE RD, RAMP CL","07-25-2013","","4056","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4056_CONGRESS ST, EAST SERVICE RD, RAMP CL_SB_12HR_TMC_07252013.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","CONGRESS ST, BOSTON WHARF RD, WEST SERVICE RD","12-02-2008","","4057","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4057_CONGRESS ST, BOSTON WHARF RD, WEST SERVICE RD_SB_11HR_TMC_12022008.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"05/12/2014 08:00:00 PM","BELLEVUE ST, COLUMBIA RD, GLENDALE ST","10-02-2012","","4081","DORCHESTER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4081_BELLEVUE ST, COLUMBIA RD, GLENDALE ST_DO_12HR_TMC_10022012.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
